family,class,species,Forma,Sex,angle,webUrl,isMimic,Background,Type,Photo from
Sparassidae,Arachnida,Holconia sp,,,Dorsal,images/IMG_1990.jpg,FALSE,Natural,nonAnt,Jim
Sparassidae,Arachnida,Holconia sp,,,Anterior,images/IMG_2003.jpg,FALSE,Natural,nonAnt,Jim
Salticidae,Arachnida,Myrmarachne luctuosa,,,Dorsal,images/85.jpg,TRUE,Natural,null,Jim
Formicidae,Insecta,Rhytidoponera metallica,,,Dorsal,images/149.jpg,FALSE,Artificial,ant,Jim
Formicidae,Insecta,Dolichoderus scabridus,,,Lateral right side,images/487.jpg,FALSE,Natural,ant,Jim
Thomisidae,Arachnida,Amyciaea albomaculata,,,Posterior,images/524.jpg,TRUE,Natural,null,Jim
Corinnidae,Arachnida,Poecilipta sp1,,,Dorsal,images/606.jpg,TRUE,Natural,null,Jim
Alydidae,Insecta,Riptortus abdominalis,,,Dorsal,images/736.jpg,TRUE,Artifical,null,Jim
Alydidae,Insecta,Alydid3 sp1,,,Lateral,images/784.jpg,TRUE,Artificial,null,Jim
Alydidae,Insecta,Alydid3 sp1,,,Dorsal,images/786.jpg,TRUE,Artificial,null,Jim
Formicidae,Insecta,Crematogaster sp1,,,Dorsal,images/1262.jpg,FALSE,Artificial,ant,Jim
Rhyparochromidae,Insecta,Daerlac nigricans,,,Dorsal,images/1773.jpg,TRUE,Artificial,null,Jim
Chrysididae,Insecta,Chrysidid1 sp1,,,Lateral,images/1827.jpg,FALSE,Artificial,nonAnt,Jim
Chrysididae,Insecta,Chrysidid1 sp1,,,Dorsal,images/1828.jpg,FALSE,Artificial,nonAnt,Jim
Reduviidae,Insecta,Reduviid2 sp1,,,Dorsal,images/1951.jpg,FALSE,Artificial,nonAnt,Jim
Lamponidae,Arachnida,Lamponid2 sp1,,,Lateral right side,images/2462.jpg,FALSE,Artificial,nonAnt,Jim
Lamponidae,Arachnida,Lamponid2 sp1,,,Dorsal,images/2465.jpg,FALSE,Artificial,nonAnt,Jim
Salticidae,Arachnida,Zenodorus metallescens,,,Dorsal,images/2712.jpg,FALSE,Artificial,nonAnt,Jim
Salticidae,Arachnida,Ligonipes semitectus,,,Anterior,images/2806.jpg,TRUE,Artificial,null,Jim
Reduviidae,Insecta,Reduviid3 sp1,,,Dorsal,images/2962.jpg,FALSE,Artificial,nonAnt,Jim
Formicidae,Insecta,Formicid14 sp1,,,Dorsal,images/3014.jpg,FALSE,Artificial,ant,Jim
Formicidae,Insecta,Formicid14 sp1,,,Lateral right side,images/3015.jpg,FALSE,Artificial,ant,Jim
Salticidae,Arachnida,Myrmarachne macleayana,,,Lateral right side,images/3171.jpg,TRUE,Artificial,null,Jim
Salticidae,Arachnida,Myrmarachne luctuosa,,,Dorsal,images/3243.jpg,TRUE,Artificial,null,Jim
Lamponidae,Arachnida,Lamponid4 sp1,,,Dorsal,images/3451.jpg,FALSE,Artificial,nonAnt,Jim
Formicidae,Insecta,Crematogaster sp1,,,Lateral right side,images/3849.jpg,FALSE,Artificial,ant,Jim
Formicidae,Insecta,Camponotus sp3,,,Dorsal,images/3857.jpg,FALSE,Artificial,ant,Jim
Formicidae,Insecta,Camponotus sp3,,,Anterior,images/3858.jpg,FALSE,Artificial,ant,Jim
Formicidae,Insecta,Camponotus sp3,,,Lateral,images/3859.jpg,FALSE,Artificial,ant,Jim
Salticidae,Arachnida,Myrmarachne sp1,,,Lateral right side,images/3973.jpg,TRUE,Artificial,null,Jim
Salticidae,Arachnida,Myrmarachne striatipes,,,Anterior,images/3976.jpg,TRUE,Artificial,null,Jim
Formicidae,Insecta,Opisthopsis sp2,,,Anterior,images/4201.jpg,FALSE,Artificial,ant,Jim
